,title,desc,link,total_num_of_repos,best_repo,stars
0,3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com/topics/3d,6958,three.js,92.2k
1,Ajax,Ajax is a technique for creating interactive web applications.,https://github.com/topics/ajax,9519,Blog,7.6k
2,Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com/topics/algorithm,14458,coding-interview-university,258k
3,Amp,Amp is a non-blocking concurrency library for PHP.,https://github.com/topics/amphp,138,amp,3.9k
4,Android,Android is an operating system built by Google designed for mobile devices.,https://github.com/topics/android,112131,flutter,154k
5,Angular,Angular is an open source web application platform.,https://github.com/topics/angular,48309,free-programming-books-zh_CN,103k
6,Ansible,Ansible is a simple and powerful automation engine.,https://github.com/topics/ansible,19075,ansible,57.5k
7,API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,https://github.com/topics/api,84482,public-apis,241k
8,Arduino,Arduino is an open source platform for building electronic devices.,https://github.com/topics/arduino,30552,Tasmota,19.7k
9,ASP.NET,ASP.NET is a web framework for building modern web apps and services.,https://github.com/topics/aspnet,836,server,12.6k
10,Atom,Atom is a open source text editor built with web technologies.,https://github.com/topics/atom,2955,atom,59.4k
11,Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome,6418,awesome,256k
12,Amazon Web Services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://github.com/topics/aws,34525,localstack,47.3k
13,Azure,Azure is a cloud computing service created by Microsoft.,https://github.com/topics/azure,13701,devops-exercises,43.5k
14,Babel,"Babel is a compiler for writing next generation JavaScript, today.",https://github.com/topics/babel,8644,babel,42.2k
15,Bash,Bash is a shell and command language interpreter for the GNU operating system.,https://github.com/topics/bash,19895,the-art-of-command-line,137k
16,Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://github.com/topics/bitcoin,9594,bitcoin,69.7k
17,Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework.",https://github.com/topics/bootstrap,58795,bootstrap,164k
18,Bot,A bot is an application that runs automated tasks over the Internet.,https://github.com/topics/bot,28512,ccxt,28.3k
19,C,C is a general purpose programming language that first appeared in 1972.,https://github.com/topics/c,55117,scrcpy,84.2k
20,Chrome,Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome,6054,electron,108k
21,Chrome extension,Chrome extensions enable users to customize the Chrome browsing experience.,https://github.com/topics/chrome-extension,14919,bypass-paywalls-chrome,37.6k
22,Command line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://github.com/topics/cli,37431,ohmyzsh,159k
23,Clojure,"Clojure is a dynamic, general-purpose programming language.",https://github.com/topics/clojure,5662,metabase,32.6k
24,Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",https://github.com/topics/code-quality,641,SwiftLint,17.4k
25,Code review,Ensure your code meets quality standards and ship with confidence.,https://github.com/topics/code-review,438,octotree,22.5k
26,Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler,8602,next.js,107k
27,Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",https://github.com/topics/continuous-integration,3088,localstack,47.3k
28,COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,https://github.com/topics/covid-19,12046,COVID-19,29.3k
29,C++,C++ is a general purpose and object-oriented programming language.,https://github.com/topics/cpp,59138,CS-Notes,165k
30,Cryptocurrency,A cryptocurrency is a digital currency that uses cryptography.,https://github.com/topics/cryptocurrency,13835,bitcoin,69.7k
31,Crystal,"Crystal is a self-hosted, general purpose programming language.",https://github.com/topics/crystal,1876,crystal,18.5k
32,C#,"C# (""C sharp"") is an object-oriented and type-safe programming language.",https://github.com/topics/csharp,58675,Files,27.6k
33,CSS,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://github.com/topics/css,245977,bootstrap,164k
34,Data structures,Data structures are a way of organizing and storing data.,https://github.com/topics/data-structures,21410,coding-interview-university,258k
35,Data visualization,Data visualization is the graphic representation of data and trends.,https://github.com/topics/data-visualization,19033,d3,105k
36,Database,"A database is a structured set of data held in a computer, usually a server.",https://github.com/topics/database,29216,etcd,43.5k
37,Deep learning,Deep Learning is an artificial neural network composed of many layers.,https://github.com/topics/deep-learning,59312,tensorflow,175k
38,Dependency management,Secure and manage your third-party dependencies.,https://github.com/topics/dependency-management,87,vg,1.3k
39,Deployment,Streamline your code deployment so you can focus on your product.,https://github.com/topics/deployment,4363,fastlane,37.2k
40,Django,Django is a web application framework for Python.,https://github.com/topics/django,53664,django,71.1k
41,Docker,Docker is a platform built for developers to build and run applications.,https://github.com/topics/docker,108156,mall,66.4k
42,Documentation,Documentation is a set of information that describes a product to its users.,https://github.com/topics/documentation,11096,the-art-of-command-line,137k
43,.NET,".NET is a free, cross-platform, open source developer platform.",https://github.com/topics/dotnet,27843,aspnetcore,31.8k
44,Electron,Electron is a framework for building cross-platform desktop applications with web technology.,https://github.com/topics/electron,12970,vscode,147k
45,Elixir,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications.",https://github.com/topics/elixir,9013,phoenix,19.5k
46,Emacs,"Emacs is an extensible, customizable, free text editor and computing environment.",https://github.com/topics/emacs,5592,spacemacs,23k
47,Ember,Ember is a framework for creating web applications.,https://github.com/topics/ember,1420,storybook,78.9k
48,Emoji,"Emojis are graphic symbols that represent an emotion, object, or concept.",https://github.com/topics/emoji,2662,rich,43.4k
49,Emulator,An emulator is any hardware or software that allows one computer to behave like another.,https://github.com/topics/emulator,4443,yuzu,28.2k
50,ESLint,The pluggable linting utility for JavaScript and JSX.,https://github.com/topics/eslint,12565,javascript,135k
51,Ethereum,Ethereum is a distributed public blockchain network.,https://github.com/topics/ethereum,19761,go-ethereum,42.4k
52,Express,Express is a minimal Node.js framework for web and mobile applications.,https://github.com/topics/express,64434,nodebestpractices,89.5k
53,Firebase,Firebase is a mobile app development platform that provides data analysis and database web services for developers.,https://github.com/topics/firebase,46419,supabase,50.9k
54,Firefox,Firefox is an open source web browser from Mozilla.,https://github.com/topics/firefox,3704,playwright,51.7k
55,Flask,Flask is a web framework for Python based on the Werkzeug toolkit.,https://github.com/topics/flask,40175,flask,63.1k
56,Font,A font is a particular style of typeface for text.,https://github.com/topics/font,2871,Font-Awesome,71.5k
57,Framework,A framework is a reusable set of libraries or classes in software.,https://github.com/topics/framework,13065,vue,204k
58,Front end,Front end is the programming and layout that people see and interact with.,https://github.com/topics/frontend,23163,react,208k
59,Game engine,A game engine is a software framework used to develop and create video games.,https://github.com/topics/game-engine,5615,godot,61.6k
60,Git,Git is the most widely used version control system.,https://github.com/topics/git,46917,gitignore,148k
61,GitHub API,The GitHub API allows you to build applications that integrate with GitHub.,https://github.com/topics/github-api,4734,hub,22.4k
62,Go,Go is a programming language built to resemble a simplified version of the C programming language.,https://github.com/topics/go,51645,go,112k
63,Google,Google LLC is an American multinational technology company that specializes in Internet-related services and products.,https://github.com/topics/google,8478,bert,34.4k
64,Gradle,"Gradle is an open-source build tool that helps teams build, automate and deliver better software, faster.",https://github.com/topics/gradle,9854,gradle,14.7k
65,GraphQL,GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.,https://github.com/topics/graphql,26707,gatsby,54.5k
66,Gulp,Gulp is a toolkit for automating and streamlining web development.,https://github.com/topics/gulp,8190,magic,8k
67,Hacktoberfest,"Hacktoberfest is a month-long celebration of open source projects, their maintainers, and the entire community of contributors.",https://github.com/topics/hacktoberfest,126177,freeCodeCamp,368k
68,Haskell,"Haskell is a functional programming language with non-strict semantics, and strong static typing.",https://github.com/topics/haskell,9303,shellcheck,32.2k
69,Homebrew,Homebrew is a package manager for macOS.,https://github.com/topics/homebrew,3039,brew,36.1k
70,Homebridge,"Homebridge is a utility for tying smart home devices together into Apple’s HomeKit framework, controlled by Siri.",https://github.com/topics/homebridge,849,homebridge,22k
71,HTML,HTML is the fundamental markup language for webpages.,https://github.com/topics/html,228559,bootstrap,164k
72,HTTP,HTTP (Hypertext Transfer Protocol) is the standard for communication across the web.,https://github.com/topics/http,12322,hoppscotch,51.7k
73,Icon font,Icon fonts contain glyphs and symbols in place of textual letters.,https://github.com/topics/icon-font,222,nerd-fonts,44.2k
74,iOS,iOS is the operating system for Apple's mobile products.,https://github.com/topics/ios,42575,flutter,154k
75,IPFS,IPFS is a peer-to-peer protocol for content-addressed sharing of data via a distributed file system.,https://github.com/topics/ipfs,2661,ipfs,22.1k
76,Java,"Java is an object-oriented programming language used mainly for web, desktop, embedded devices and mobile applications.",https://github.com/topics/java,208010,CS-Notes,165k
77,JavaScript,JavaScript (JS) is a lightweight interpreted programming language with first-class functions.,https://github.com/topics/javascript,445128,freeCodeCamp,368k
78,Jekyll,"Jekyll is a simple, blog-aware static site generator.",https://github.com/topics/jekyll,11948,jekyll,46.7k
79,jQuery,jQuery is a lightweight library that simplifies programming with JavaScript.,https://github.com/topics/jquery,36078,jquery,57.5k
80,JSON,"JSON (JavaScript Object Notation) allows for easy interchange of data, often between a program and a database.",https://github.com/topics/json,32554,fastapi,58.4k
81,The Julia Language,"Julia is a high-level, high-performance dynamic programming language for numerical computing.",https://github.com/topics/julia,5188,julia,42.5k
82,Jupyter Notebook,"Jupyter Notebooks are documents that contain live code, visualizations, and narrative text.",https://github.com/topics/jupyter-notebook,21415,PythonDataScienceHandbook,38.5k
83,Koa,Koa is an expressive middleware framework for Node.js servers that uses ES2017 async functions.,https://github.com/topics/koa,2332,strapi,54k
84,Kotlin,Kotlin is a statically typed programming language for multiplatform applications.,https://github.com/topics/kotlin,43977,free-programming-books-zh_CN,103k
85,Kubernetes,"Kubernetes is an open source system for automating deployment, scaling, and management of containerized applications.",https://github.com/topics/kubernetes,28416,kubernetes,98.7k
86,Laravel,The PHP Framework for Web Artisans.,https://github.com/topics/laravel,38734,laravel,73.6k
87,LaTeX,LaTeX is a document preparation system.,https://github.com/topics/latex,9162,marktext,40k
88,Library,"A library is a collection of resources, often created to make programming a task simpler.",https://github.com/topics/library,24405,react,208k
